index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
3,task-1-3,vm4,0.0,0.18800000000010186,0.183352,0.0
1,task-1-1,vm2,0.0,0.3279999999995198,0.325927,0.0
5,task-1-5,vm2,0.0,0.5630000000001019,0.563054,0.0
11,task-10-11,vm4,0.003559,6.0,6.01202,0.0
7,task-10-7,vm4,0.003084,11.90599999999904,11.914568,0.0
2,task-10-2,vm3,0.0,12.109999999998763,12.105123,0.0
6,task-1-6,vm3,0.001018,12.281999999999243,12.277306,0.0
14,task-1-14,vm3,0.003559,12.390999999999622,12.408277,0.0
10,task-1-10,vm3,0.003559,12.53099999999904,12.547655,0.0
18,task-1-18,vm3,12.105123,0.5780000000013388,12.683146,12.093999999999141
19,task-10-19,vm4,0.003559,17.79700000000048,17.81414,0.0
9,task-10-9,vm2,0.325927,22.875,23.201152,0.31199999999989814
23,task-10-23,vm4,0.003559,23.64099999999962,23.655048,0.0
15,task-1-15,vm4,0.003559,23.75,23.759497,0.0
22,task-10-22,vm3,12.277306,11.936999999999898,24.207564,12.265999999999622
26,task-1-26,vm3,12.408277,11.95299999999952,24.347935,12.390999999999622
27,task-10-27,vm4,0.003559,29.64099999999962,29.645331,0.0
13,task-10-13,vm2,0.563054,43.35899999999856,43.912359,0.5470000000004802
0,task-10-0,vm1,0.0,-1,62.448202,62.45299999999952
17,task-10-17,vm2,23.209964,40.90600000000086,64.117119,23.20299999999952
21,task-1-21,vm2,43.912359,20.40600000000086,64.330032,43.90599999999904
25,task-10-25,vm2,64.117119,21.04699999999866,85.1629,64.10900000000038
29,task-10-29,vm2,64.330032,42.11000000000058,106.426665,64.3119999999999
4,task-10-4,vm1,62.448202,-1,121.691689,121.70299999999952
8,task-1-8,vm1,121.691689,32.875,154.573139,121.6869999999999
12,task-1-12,vm1,154.573139,76.36000000000058,230.931155,154.5619999999999
16,task-10-16,vm1,230.931155,-1,264.383698,264.375
20,task-1-20,vm1,264.383698,29.15599999999904,293.533666,264.375
24,task-1-24,vm1,293.533666,1.6880000000001019,295.222655,293.53099999999904
28,task-10-28,vm1,295.222655,-1,342.20405,342.1869999999999
