index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
3,task-1-3,vm2,0.002913,0.4059999999990396,0.409015,0.0
10,task-1-10,vm2,0.015087,0.6409999999996217,0.656584,0.0
0,task-10-0,vm4,0.0,6.15599999999904,6.15812,0.0
4,task-10-4,vm4,0.004392,12.28099999999904,12.290115,0.0
2,task-10-2,vm3,0.001921,14.5,14.506671,0.0
7,task-10-7,vm4,0.004392,18.28099999999904,18.284455,0.0
16,task-10-16,vm2,0.411092,23.2970000000023,23.710254,0.39099999999962165
18,task-1-18,vm2,0.656584,23.187000000001717,23.853581,0.6409999999996217
20,task-1-20,vm2,23.710254,0.3899999999994179,24.101274,23.68800000000192
9,task-10-9,vm4,0.01409,24.20300000000134,24.229802,0.0
11,task-10-11,vm3,0.016093,25.84400000000096,25.860997,0.0
12,task-1-12,vm3,0.016093,25.985000000000582,25.999186,0.0
21,task-1-21,vm3,0.018603,26.110000000000582,26.13492,0.0
24,task-1-24,vm3,14.506671,11.764999999999418,26.27449,14.485000000000582
17,task-10-17,vm4,0.018089,30.15599999999904,30.174244,0.0
13,task-10-13,vm4,0.017083,36.06300000000192,36.088465,0.0
25,task-10-25,vm3,25.860997,11.703000000001339,37.560997,25.84400000000096
26,task-1-26,vm3,25.999186,11.687000000001717,37.695776,25.985000000000582
19,task-10-19,vm4,0.018603,42.01599999999962,42.041125,0.0
22,task-10-22,vm2,23.853581,23.17199999999866,47.012224,23.82800000000134
23,task-10-23,vm4,0.020126,47.95300000000134,47.970944,0.0
27,task-10-27,vm3,26.13492,22.795999999998457,48.920866,26.110000000000582
28,task-10-28,vm4,6.15812,47.75,53.909478,6.140999999999622
1,task-1-1,vm1,0.000897,55.10900000000038,55.108949,0.0
5,task-1-5,vm1,55.108949,10.93699999999808,66.043958,55.10900000000038
6,task-1-6,vm1,66.043958,1.7820000000028813,67.833302,66.04599999999846
8,task-1-8,vm1,67.833302,2.139999999999418,69.97148,67.81300000000192
14,task-1-14,vm1,69.97148,0.8279999999977008,70.804973,69.95300000000134
15,task-1-15,vm1,70.804973,0.5,71.299556,70.78099999999904
29,task-10-29,vm1,71.299556,-1,101.749664,101.73500000000058
