index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
1,task-1-1,vm3,0.000928,0.23400000000037835,0.237374,0.0
3,task-1-3,vm2,0.000928,0.31199999999989814,0.317316,0.0
6,task-1-6,vm2,0.000928,0.5310000000008586,0.543676,0.0
8,task-1-8,vm2,0.317316,0.4529999999995198,0.778747,0.31199999999989814
12,task-1-12,vm2,0.543676,0.46899999999914144,1.006863,0.5310000000008586
14,task-1-14,vm2,0.778747,0.4690000000009604,1.249955,0.7649999999994179
15,task-1-15,vm2,1.006863,0.4680000000007567,1.47909,1.0
21,task-1-21,vm2,1.249955,0.46899999999914144,1.711736,1.2340000000003783
0,task-10-0,vm4,0.0,5.95299999999952,5.951943,0.0
13,task-10-13,vm4,0.006454,11.843000000000757,11.854157,0.0
4,task-10-4,vm3,0.000928,11.95299999999952,11.965603,0.0
9,task-10-9,vm4,0.000928,17.75,17.754584,0.0
5,task-1-5,vm1,0.000928,21.70299999999952,21.709646,0.0
22,task-10-22,vm2,1.47909,22.188000000000102,23.661511,1.4680000000007567
19,task-10-19,vm4,0.006454,23.65600000000086,23.671109,0.0
2,task-10-2,vm3,0.000928,23.686999999999898,23.696614,0.0
24,task-1-24,vm1,21.709646,4.67200000000048,26.382458,21.70299999999952
16,task-10-16,vm4,0.006454,29.546000000000276,29.56039,0.0
7,task-10-7,vm3,0.000928,36.32799999999952,36.333629,0.0
10,task-1-10,vm3,0.237374,37.1869999999999,37.425237,0.23400000000037835
28,task-10-28,vm4,0.006454,37.79600000000028,37.803956,0.0
17,task-10-17,vm4,0.006454,41.6869999999999,41.697092,0.0
23,task-10-23,vm2,1.711736,44.03100000000086,45.737657,1.7029999999995198
11,task-10-11,vm3,11.965603,35.39000000000124,47.359972,11.95299999999952
18,task-1-18,vm3,23.696614,23.79700000000048,47.495602,23.686999999999898
20,task-1-20,vm3,36.333629,11.265000000001237,47.609273,36.32799999999952
27,task-10-27,vm4,0.006454,47.60900000000038,47.618905,0.0
26,task-1-26,vm3,37.425237,10.313000000000102,47.738616,37.42100000000028
29,task-10-29,vm4,5.951943,47.625,53.568629,5.936999999999898
25,task-10-25,vm1,26.382458,-1,63.160364,63.15600000000086
