index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
3,task-1-3,vm3,0.001001,0.2970000000022992,0.294644,0.0
5,task-1-5,vm3,0.001001,0.43800000000192085,0.433259,0.0
6,task-1-6,vm3,0.001001,0.5630000000019209,0.562928,0.0
10,task-1-10,vm3,0.001001,0.7190000000009604,0.716494,0.0
14,task-1-14,vm3,0.294644,0.5469999999986612,0.844132,0.2970000000022992
15,task-1-15,vm3,0.433259,1.5,1.942479,0.43800000000192085
18,task-1-18,vm3,0.562928,1.375,1.942479,0.5630000000019209
4,task-10-4,vm4,0.001001,5.985000000000582,5.994019,0.0
7,task-10-7,vm4,0.001001,11.9220000000023,11.922743,0.0
19,task-10-19,vm3,0.716494,11.59400000000096,12.319732,0.7190000000009604
26,task-1-26,vm3,0.844132,11.640999999999622,12.490885,0.8440000000009604
9,task-10-9,vm4,0.001001,17.860000000000582,17.861273,0.0
27,task-10-27,vm3,1.942479,21.81199999999808,23.759743,1.9380000000019209
17,task-10-17,vm4,0.001001,23.985000000000582,23.983643,0.0
12,task-1-12,vm4,0.001001,24.079000000001543,24.088303,0.0
20,task-1-20,vm4,0.003,24.15700000000288,24.156012,0.0
2,task-10-2,vm2,0.001001,24.75,24.759959,0.0
22,task-10-22,vm4,0.004006,30.079000000001543,30.082778,0.0
21,task-1-21,vm4,0.003,30.1720000000023,30.170922,0.0
23,task-10-23,vm4,5.994019,30.139999999999418,36.123172,5.985000000000582
28,task-10-28,vm4,11.922743,30.125,42.045477,11.9220000000023
0,task-10-0,vm2,0.0,47.78200000000288,47.780733,0.0
8,task-1-8,vm2,24.759959,23.26600000000326,48.020409,24.75
29,task-10-29,vm4,17.861273,30.156000000002678,48.020409,17.860000000000582
13,task-10-13,vm2,47.780733,23.139999999999418,70.926935,47.78200000000288
1,task-1-1,vm1,0.001001,76.65700000000288,76.660636,0.0
16,task-10-16,vm2,48.020409,45.31299999999828,93.335112,48.01600000000326
24,task-1-24,vm2,70.926935,22.64099999999962,93.566899,70.9220000000023
11,task-10-11,vm1,76.660636,-1,187.319153,187.31300000000192
25,task-10-25,vm1,187.319153,-1,247.658121,247.65700000000288
