index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
5,task-3-5,vm2,0.0,2.219000000040978,2.209826,0.0
19,task-10-19,vm4,0.011847,6.421999999904074,6.422829,0.0
3,task-2-3,vm4,0.0,6.73499999998603,6.730595,0.0
11,task-1-11,vm4,0.0,6.797000000020489,6.788385,0.0
2,task-8-2,vm3,0.0,7.672000000020489,7.660988,0.0
1,task-5-1,vm2,0.0,7.75,7.740975,0.0
14,task-1-14,vm3,0.0,7.812999999965541,7.803614,0.0
6,task-4-6,vm3,0.0,9.812999999965541,9.805386,0.0
9,task-3-9,vm2,2.209826,7.593999999924563,9.807482,2.219000000040978
15,task-8-15,vm4,0.0,10.594000000040978,10.582335,0.0
23,task-2-23,vm4,0.012255,10.843999999924563,10.851893,0.0
7,task-4-7,vm4,0.0,11.85999999998603,11.852498,0.0
27,task-4-27,vm4,0.012255,13.843999999924563,13.851029,0.0
31,task-1-31,vm4,0.012255,13.843999999924563,13.851029,0.0
35,task-8-35,vm4,6.422829,10.328000000095926,16.762505,6.421999999904074
39,task-2-39,vm4,6.730595,10.281000000075437,17.012219,6.718999999924563
0,task-6-0,vm1,0.0,17.375,17.36718,0.0
10,task-9-10,vm3,0.0,18.85999999998603,18.852596,0.0
43,task-6-43,vm4,6.788385,12.375,19.163019,6.780999999959022
18,task-6-18,vm3,7.660988,15.155999999959022,22.826405,7.655999999959022
47,task-9-47,vm4,10.595551,13.359000000054948,23.962424,10.593999999924563
13,task-9-13,vm2,7.740975,20.03200000000652,27.776966,7.75
22,task-8-22,vm3,7.803614,22.109000000054948,29.91392,7.796999999904074
26,task-4-26,vm3,9.805386,21.906000000075437,31.7036,9.796999999904074
17,task-5-17,vm2,9.807482,23.531000000075437,33.341718,9.796999999904074
21,task-5-21,vm2,27.776966,11.187000000034459,38.959974,27.765999999945052
30,task-9-30,vm3,18.852596,21.79700000002049,40.644805,18.843999999924563
34,task-1-34,vm3,22.826405,17.95400000002701,40.766213,22.811999999918044
25,task-3-25,vm2,33.342292,7.577999999979511,40.910612,33.32799999997951
29,task-3-29,vm2,38.959974,4.015999999945052,42.97447,38.95299999997951
38,task-6-38,vm3,29.91392,14.890999999945052,44.79752,29.905999999959022
42,task-5-42,vm3,31.7036,15.843999999924563,47.552114,31.70299999997951
46,task-4-46,vm3,40.645106,8.687000000034459,49.333633,40.64099999994505
4,task-10-4,vm1,17.36718,-1,49.365336,49.375
33,task-9-33,vm2,40.910612,19.405999999959022,60.316304,40.90599999995902
37,task-5-37,vm2,42.97447,22.68700000003446,65.665987,42.96899999992456
41,task-4-41,vm2,60.316304,8.766000000061467,69.082253,60.311999999918044
45,task-3-45,vm2,65.665987,5.344000000040978,71.014351,65.65599999995902
49,task-7-49,vm2,69.082253,12.437999999965541,81.524426,69.07799999997951
8,task-7-8,vm1,49.365336,128.98499999998603,178.358852,49.375
12,task-7-12,vm1,178.358852,21.51500000001397,199.865238,178.35999999998603
16,task-2-16,vm1,199.865238,3.062999999965541,202.929036,199.85899999993853
20,task-6-20,vm1,202.929036,106.42200000002049,309.350529,202.92199999990407
24,task-10-24,vm1,309.350529,-1,340.677615,340.6719999999041
28,task-7-28,vm1,340.677615,109.51500000001397,450.201247,340.6719999999041
32,task-7-32,vm1,450.201247,74.17200000002049,524.361286,450.18699999991804
36,task-2-36,vm1,524.361286,2.547000000020489,526.914061,524.3589999999385
40,task-3-40,vm1,526.914061,5.23499999998603,532.154856,526.905999999959
44,task-1-44,vm1,532.154856,69.34299999999348,601.498988,532.140999999945
48,task-6-48,vm1,601.498988,16.23499999998603,617.732856,601.4839999999385
