index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
5,task-3-5,vm2,0.0,5.327999999979511,5.334139,0.0
31,task-1-31,vm4,0.010773,7.781000000075437,7.790412,0.0
27,task-4-27,vm4,0.010773,8.71799999999348,8.741349,0.0
23,task-2-23,vm4,0.010773,9.109000000054948,9.123256,0.0
2,task-8-2,vm3,0.0,10.155999999959022,10.1563,0.0
14,task-1-14,vm3,0.0,10.233999999938533,10.236155,0.0
1,task-5-1,vm2,0.0,10.905999999959022,10.90022,0.0
6,task-4-6,vm3,0.0,12.030999999959022,12.030951,0.0
9,task-3-9,vm2,5.334139,7.625,12.949439,5.327999999979511
19,task-10-19,vm4,0.010773,15.01500000001397,15.029676,0.0
3,task-2-3,vm4,0.0,15.312999999965541,15.31452,0.0
11,task-1-11,vm4,0.0,15.405999999959022,15.410655,0.0
7,task-4-7,vm4,0.0,16.405999999959022,16.413421,0.0
15,task-8-15,vm4,0.010773,20.25,20.268971,0.0
10,task-9-10,vm3,0.0,21.015999999945052,21.022125,0.0
35,task-8-35,vm4,7.790412,16.233999999938533,24.033713,7.781000000075437
39,task-2-39,vm4,8.741349,15.579000000027008,24.313409,8.71799999999348
18,task-6-18,vm3,10.1563,14.827999999979511,24.979265,10.14000000001397
43,task-6-43,vm4,9.123256,17.390999999945052,26.520398,9.109000000054948
13,task-9-13,vm2,10.90022,20.094000000040978,30.993793,10.905999999959022
47,task-9-47,vm4,15.029676,16.23499999998603,31.264971,15.01500000001397
22,task-8-22,vm3,10.236155,21.79700000002049,32.027817,10.21799999999348
26,task-4-26,vm3,12.030951,21.766000000061467,33.80126,12.01500000001397
0,task-6-0,vm1,0.0,35.75,35.750418,0.0
17,task-5-17,vm2,12.949439,23.640999999945052,36.587779,12.937000000034459
21,task-5-21,vm2,30.993793,11.218999999924563,42.216295,30.984000000054948
30,task-9-30,vm3,21.022125,21.734000000054948,42.752087,21.0
34,task-1-34,vm3,24.979265,17.891000000061467,42.880101,24.96799999999348
25,task-3-25,vm2,36.587779,7.672000000020489,44.261152,36.57799999997951
29,task-3-29,vm2,42.216295,4.078000000095926,46.292417,42.20299999997951
38,task-6-38,vm3,32.027817,14.827999999979511,46.862523,32.01500000001397
42,task-5-42,vm3,33.80126,16.046999999904074,49.845829,33.78100000007544
46,task-4-46,vm3,42.752087,8.687999999965541,51.435421,42.73400000005495
33,task-9-33,vm2,44.261152,19.859000000054948,64.129125,44.25
37,task-5-37,vm2,46.292417,22.125,68.416876,46.28100000007544
4,task-10-4,vm1,35.750418,-1,69.287572,69.28099999995902
41,task-4-41,vm2,64.129125,7.608999999938533,71.730538,64.10900000005495
45,task-3-45,vm2,68.416876,5.218999999924563,73.646435,68.40600000007544
49,task-7-49,vm2,71.730538,12.454000000027008,84.187645,71.71799999999348
8,task-7-8,vm1,69.287572,86.81299999996554,156.097684,69.28099999995902
12,task-7-12,vm1,156.097684,38.65600000007544,194.755724,156.09399999992456
16,task-2-16,vm1,194.755724,14.515999999945052,209.272454,194.73400000005495
20,task-6-20,vm1,209.272454,17.09299999999348,226.353929,209.25
24,task-10-24,vm1,226.353929,-1,271.739363,271.7179999999935
28,task-7-28,vm1,271.739363,42.67200000002049,314.406824,271.7179999999935
32,task-7-32,vm1,314.406824,37.14100000006147,351.538939,314.39000000001397
36,task-2-36,vm1,351.538939,16.983999999938533,368.532563,351.53100000007544
40,task-3-40,vm1,368.532563,5.422000000020489,373.957758,368.51500000001397
44,task-1-44,vm1,373.957758,16.45299999997951,390.398782,373.93700000003446
48,task-6-48,vm1,390.398782,32.51600000006147,422.922793,390.39000000001397
