index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
3,task-1-3,vm4,0.0,0.21799999999711872,0.216695,0.0
6,task-1-6,vm3,0.0,0.2649999999994179,0.261637,0.0
15,task-1-15,vm4,0.0,0.2969999999986612,0.291383,0.0
1,task-1-1,vm2,0.0,0.375,0.366635,0.0
14,task-1-14,vm3,0.0,0.375,0.371401,0.0
31,task-1-31,vm4,0.010312,0.375,0.393964,0.0
11,task-1-11,vm4,0.0,0.4679999999971187,0.473628,0.0
10,task-1-10,vm3,0.0,0.5,0.504859,0.0
5,task-1-5,vm2,0.0,0.5929999999971187,0.599477,0.0
2,task-1-2,vm3,0.0,0.6559999999990396,0.652188,0.0
18,task-1-18,vm3,0.261637,0.5,0.757135,0.2649999999994179
9,task-1-9,vm2,0.366635,0.4679999999971187,0.838421,0.375
0,task-1-0,vm1,0.0,0.875,0.878783,0.0
22,task-1-22,vm3,0.371401,0.5149999999994179,0.890413,0.375
13,task-1-13,vm2,0.599477,0.5160000000032596,1.10564,0.5929999999971187
17,task-1-17,vm2,0.838421,0.4850000000005821,1.326209,0.8429999999971187
4,task-1-4,vm1,0.878783,0.625,1.492225,0.875
21,task-1-21,vm2,1.10564,0.4219999999986612,1.532947,1.1090000000003783
25,task-1-25,vm2,1.326209,0.4530000000013388,1.772007,1.3279999999977008
29,task-1-29,vm2,1.532947,0.5,2.029832,1.5159999999996217
33,task-1-33,vm2,1.772007,0.48400000000037835,2.264617,1.7659999999996217
37,task-1-37,vm2,2.03039,0.4690000000009604,2.491492,2.0159999999996217
8,task-1-8,vm1,1.492225,1.2029999999977008,2.69562,1.5
41,task-1-41,vm2,2.264617,0.4529999999977008,2.724857,2.25
45,task-1-45,vm2,2.491492,0.4679999999971187,2.967186,2.485000000000582
49,task-1-49,vm2,2.724857,0.4690000000009604,3.192155,2.702999999997701
53,task-1-53,vm2,2.967186,0.5160000000032596,3.484363,2.952999999997701
57,task-1-57,vm2,3.192155,0.4850000000005821,3.676388,3.1719999999986612
12,task-1-12,vm1,2.69562,1.125,3.820078,2.702999999997701
61,task-1-61,vm2,3.484363,0.4219999999986612,3.900129,3.4690000000009604
65,task-1-65,vm2,3.676388,0.4680000000007567,4.145189,3.6569999999992433
69,task-1-69,vm2,3.900129,0.4690000000009604,4.3718,3.8909999999996217
16,task-1-16,vm1,3.820078,0.9060000000026776,4.728885,3.827999999997701
73,task-2-73,vm2,4.145189,1.610000000000582,5.741146,4.125
20,task-1-20,vm1,4.728885,1.0159999999996217,5.741146,4.734000000000378
24,task-1-24,vm1,5.741146,0.6399999999994179,6.383816,5.75
7,task-10-7,vm4,0.0,6.389999999999418,6.383816,0.0
