index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
3,task-1-3,vm4,0.000843,0.23500000000058208,0.227647,0.0
2,task-1-2,vm3,0.000843,0.31300000000192085,0.314278,0.0
11,task-1-11,vm4,0.000843,0.3290000000015425,0.334159,0.0
1,task-1-1,vm2,0.0,0.4070000000028813,0.412065,0.0
6,task-1-6,vm3,0.000843,0.4220000000022992,0.425148,0.0
10,task-1-10,vm3,0.000843,0.5630000000019209,0.559512,0.0
0,task-1-0,vm1,0.0,0.5790000000015425,0.571668,0.0
5,task-1-5,vm2,0.000843,0.6720000000022992,0.677204,0.0
14,task-1-14,vm3,0.000843,0.7190000000009604,0.711766,0.0
18,task-1-18,vm3,0.316294,0.5940000000009604,0.905403,0.31300000000192085
9,task-1-9,vm2,0.412065,0.5149999999994179,0.918272,0.4070000000028813
22,task-1-22,vm3,0.425148,0.5319999999992433,0.957344,0.4220000000022992
4,task-1-4,vm1,0.571668,0.5620000000017171,1.141693,0.5790000000015425
13,task-1-13,vm2,0.677204,0.5159999999996217,1.184559,0.6720000000022992
17,task-1-17,vm2,0.918272,0.5,1.424829,0.9220000000022992
21,task-1-21,vm2,1.184559,0.5,1.686629,1.1880000000019209
8,task-1-8,vm1,1.141693,0.5469999999986612,1.688906,1.1410000000032596
25,task-1-25,vm2,1.424829,0.5779999999977008,1.992491,1.4220000000022992
29,task-1-29,vm2,1.686629,0.5159999999996217,2.199286,1.6880000000019209
12,task-1-12,vm1,1.688906,0.5469999999986612,2.233105,1.6880000000019209
33,task-1-33,vm2,1.992491,0.4540000000015425,2.453512,2.0
37,task-1-37,vm2,2.199286,0.5149999999994179,2.711968,2.2040000000015425
16,task-1-16,vm1,2.233105,0.5310000000026776,2.763103,2.235000000000582
41,task-1-41,vm2,2.453512,0.5309999999990396,2.975692,2.4540000000015425
45,task-1-45,vm2,2.711968,0.5159999999996217,3.227494,2.7190000000009604
20,task-1-20,vm1,2.763103,0.5159999999996217,3.287536,2.7660000000032596
49,task-1-49,vm2,2.975692,0.5,3.484976,2.985000000000582
53,task-1-53,vm2,3.227494,0.48400000000037835,3.722228,3.235000000000582
24,task-1-24,vm1,3.287536,0.5469999999986612,3.826777,3.2820000000028813
57,task-1-57,vm2,3.484976,0.48400000000037835,3.961544,3.485000000000582
61,task-1-61,vm2,3.722228,0.4850000000005821,4.198711,3.7190000000009604
28,task-1-28,vm1,3.826777,0.5620000000017171,4.387881,3.8290000000015425
65,task-1-65,vm2,3.961544,0.4690000000009604,4.441415,3.9690000000009604
69,task-1-69,vm2,4.198711,0.4680000000007567,4.677998,4.2040000000015425
