index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
1,task-1-1,vm4,0.0,0.17199999999866122,0.176769,0.0
8,task-1-8,vm4,0.0,0.26599999999962165,0.263441,0.0
0,task-1-0,vm3,0.0,0.2809999999990396,0.286377,0.0
28,task-1-28,vm4,0.0,0.3279999999977008,0.326749,0.0
4,task-1-4,vm2,0.0,0.375,0.374414,0.0
3,task-1-3,vm3,0.0,0.4059999999990396,0.410396,0.0
5,task-1-5,vm2,0.0,0.6089999999967404,0.603741,0.0
6,task-1-6,vm2,0.374414,0.4529999999977008,0.826311,0.375
2,task-1-2,vm1,0.0,0.9219999999986612,0.920181,0.0
11,task-1-11,vm2,0.603741,0.4540000000015425,1.067786,0.6089999999967404
14,task-1-14,vm2,0.826311,0.4690000000009604,1.301017,0.8279999999977008
15,task-1-15,vm2,1.067786,0.4680000000007567,1.537312,1.0629999999982829
9,task-1-9,vm1,0.920181,0.7340000000003783,1.654135,0.9219999999986612
16,task-1-16,vm2,1.302016,0.4690000000009604,1.766567,1.2969999999986612
18,task-1-18,vm2,1.538334,0.4690000000009604,1.996795,1.5309999999990396
21,task-1-21,vm2,1.766567,0.4529999999977008,2.220899,1.7659999999996217
19,task-1-19,vm1,1.654135,0.5940000000009604,2.252475,1.6559999999990396
20,task-1-20,vm1,2.252475,0.5779999999977008,2.830628,2.25
29,task-1-29,vm1,2.830628,0.625,3.453158,2.827999999997701
26,task-8-26,vm4,0.0,4.125,4.130586,0.0
13,task-1-13,vm4,0.0,4.2189999999973224,4.213186,0.0
10,task-1-10,vm4,0.0,4.296999999998661,4.298941,0.0
32,task-1-32,vm4,0.0,4.375,4.374861,0.0
22,task-1-22,vm4,0.0,4.4689999999973224,4.470485,0.0
33,task-1-33,vm4,0.176769,4.375,4.548996,0.17199999999866122
39,task-1-39,vm4,0.263441,4.375,4.637345,0.26599999999962165
41,task-1-41,vm4,0.326749,4.375,4.710727,0.3279999999977008
43,task-1-43,vm4,4.130586,0.6879999999982829,4.82071,4.125
46,task-1-46,vm4,4.213186,0.6870000000017171,4.906016,4.2189999999973224
27,task-4-27,vm2,1.996795,3.7969999999986612,5.794207,2.0
38,task-1-38,vm2,2.220899,3.8280000000013388,6.049663,2.2189999999973224
45,task-1-45,vm2,5.794207,0.43699999999807915,6.240898,5.796999999998661
47,task-5-47,vm4,4.298941,2.1090000000003783,6.407749,4.296999999998661
48,task-1-48,vm2,6.049663,0.4530000000013388,6.501819,6.046999999998661
50,task-1-50,vm4,4.374861,2.125,6.50384,4.375
51,task-1-51,vm4,4.470485,2.125,6.588142,4.4689999999973224
52,task-1-52,vm4,4.548996,2.1409999999996217,6.683277,4.546999999998661
55,task-1-55,vm2,6.240898,0.4540000000015425,6.683277,6.23399999999674
54,task-1-54,vm4,4.637345,2.125,6.763993,4.640999999999622
57,task-1-57,vm2,6.501819,0.4219999999986612,6.931383,6.5
60,task-1-60,vm2,6.683277,0.4680000000007567,7.16173,6.687999999998283
65,task-1-65,vm2,6.931383,0.4690000000009604,7.393129,6.921999999998661
72,task-1-72,vm2,7.16173,0.4850000000005821,7.635829,7.15599999999904
79,task-1-79,vm2,7.393129,0.4679999999971187,7.857238,7.390999999999622
85,task-1-85,vm2,7.635829,0.4529999999977008,8.09098,7.640999999999622
90,task-1-90,vm2,7.857238,0.4850000000005821,8.338525,7.85899999999674
91,task-3-91,vm2,8.09098,2.2810000000026776,10.37,8.093999999997322
96,task-1-96,vm2,8.338525,2.25,10.59534,8.343999999997322
98,task-1-98,vm2,10.37,0.4529999999977008,10.835326,10.375
103,task-1-103,vm2,10.59534,0.4690000000009604,11.067553,10.593999999997322
108,task-1-108,vm2,10.835326,0.4530000000013388,11.286395,10.8279999999977
7,task-10-7,vm3,0.0,11.343999999997322,11.350206,0.0
12,task-1-12,vm3,0.0,11.468999999997322,11.478417,0.0
112,task-1-112,vm2,11.067553,0.48400000000037835,11.542797,11.062999999998283
17,task-1-17,vm3,0.286377,11.3279999999977,11.619377,0.2809999999990396
23,task-1-23,vm3,0.410396,11.3279999999977,11.728933,0.4059999999990396
56,task-9-56,vm4,4.710727,7.40599999999904,12.111129,4.702999999997701
62,task-1-62,vm4,4.82071,7.359000000000378,12.17323,4.812999999998283
115,task-1-115,vm2,11.286395,0.9529999999977008,12.231357,11.28099999999904
68,task-1-68,vm4,4.906016,7.34400000000096,12.25847,4.90599999999904
69,task-1-69,vm4,6.407749,5.921999999998661,12.338026,6.40599999999904
123,task-1-123,vm2,11.542797,0.9219999999986612,12.471753,11.546999999998661
73,task-2-73,vm4,6.50384,6.125,12.624196,6.5
74,task-1-74,vm4,6.588142,6.078000000001339,12.676796,6.5939999999973224
77,task-7-77,vm4,6.683277,8.920999999998457,15.612565,6.687999999998283
80,task-1-80,vm4,6.763993,8.93699999999808,15.712646,6.765999999999622
34,task-6-34,vm1,3.453158,16.875,20.324507,3.452999999997701
35,task-1-35,vm1,20.324507,1.4690000000009604,21.799925,20.3279999999977
126,task-8-126,vm2,12.231357,14.76600000000326,26.998302,12.23399999999674
134,task-1-134,vm2,12.471753,14.75,27.221513,12.468999999997322
137,task-1-137,vm2,26.998302,0.9219999999986612,27.91857,27.0
141,task-1-141,vm2,27.221513,0.9370000000017171,28.15314,27.218999999997322
36,task-5-36,vm1,21.799925,11.953000000001339,33.759668,21.79699999999866
24,task-1-24,vm3,11.350206,33.13999999999942,44.480747,11.343999999997322
25,task-1-25,vm3,11.478417,33.13999999999942,44.605499,11.468999999997322
30,task-1-30,vm3,11.619377,33.125,44.734276,11.60899999999674
31,task-1-31,vm3,11.728933,33.125,44.861219,11.73399999999674
81,task-1-81,vm4,12.111129,45.65700000000288,57.765349,12.10899999999674
99,task-1-99,vm4,12.17323,45.64099999999962,57.818449,12.171999999998661
104,task-1-104,vm4,12.25847,45.64099999999962,57.893051,12.25
105,task-1-105,vm4,12.338026,45.64099999999962,57.972665,12.3279999999977
107,task-10-107,vm4,12.624196,51.23399999999674,63.8702,12.625
111,task-1-111,vm4,12.676796,51.26599999999962,63.936677,12.671999999998661
116,task-1-116,vm4,15.612565,48.40700000000288,64.017186,15.60899999999674
117,task-1-117,vm4,15.712646,48.4220000000023,64.129058,15.7029999999977
122,task-1-122,vm4,57.765349,6.452999999997701,64.219952,57.76599999999962
124,task-1-124,vm4,57.818449,6.468000000000757,64.290646,57.81299999999828
125,task-1-125,vm4,57.893051,6.484000000000378,64.385922,57.89099999999962
