index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
3,task-1-3,vm4,0.002927,0.21900000000005093,0.225277,0.0
0,task-1-0,vm3,0.0,0.21900000000005093,0.225277,0.0
2,task-1-2,vm4,0.002927,0.2820000000001528,0.286984,0.0
4,task-1-4,vm3,0.002927,0.3600000000005821,0.365976,0.0
10,task-1-10,vm4,0.00466,0.3600000000005821,0.367994,0.0
9,task-1-9,vm3,0.00466,0.5160000000005311,0.523178,0.0
14,task-1-14,vm3,0.00466,0.6410000000005311,0.64395,0.0
22,task-1-22,vm3,0.228949,0.5469999999995707,0.778769,0.23500000000058208
24,task-1-24,vm3,0.365976,0.5469999999995707,0.90138,0.3600000000005821
29,task-1-29,vm3,0.523178,0.5,1.013147,0.5160000000005311
30,task-1-30,vm3,0.64395,0.5159999999996217,1.161138,0.6410000000005311
34,task-6-34,vm3,0.778769,4.515000000000327,5.305754,0.7820000000001528
39,task-1-39,vm3,0.90138,4.5,5.404694,0.9070000000001528
41,task-1-41,vm3,1.021767,4.515999999999622,5.528184,1.0160000000005311
44,task-1-44,vm3,1.161138,4.5,5.656539,1.1570000000001528
45,task-1-45,vm3,5.305754,0.5,5.800207,5.29700000000048
59,task-1-59,vm3,5.404694,0.5309999999999491,5.933959,5.407000000000153
7,task-10-7,vm4,0.00466,6.375,6.371932,0.0
13,task-1-13,vm4,0.00466,6.375,6.37338,0.0
16,task-1-16,vm4,0.006424,6.438000000000102,6.435547,0.0
20,task-1-20,vm4,0.006424,6.516000000000531,6.524147,0.0
17,task-1-17,vm4,0.006424,6.610000000000582,6.61541,0.0
21,task-1-21,vm4,0.225277,6.5,6.721772,0.21900000000005093
23,task-1-23,vm4,0.286984,6.515000000000327,6.794803,0.2820000000001528
25,task-1-25,vm4,0.367994,6.514999999999418,6.879187,0.3600000000005821
27,task-4-27,vm4,6.371932,1.594000000000051,7.971822,6.375
28,task-1-28,vm4,6.37338,1.594000000000051,7.973747,6.375
35,task-1-35,vm4,6.435547,1.5780000000004293,8.019299,6.438000000000102
36,task-5-36,vm4,6.524147,3.094000000000051,9.609985,6.516000000000531
48,task-1-48,vm4,6.61541,3.0,9.614018,6.610000000000582
49,task-1-49,vm4,6.721772,2.9840000000003783,9.700149,6.719000000000051
50,task-1-50,vm4,6.794803,3.0,9.801848,6.79700000000048
54,task-1-54,vm4,6.879187,3.0,9.883401,6.875
62,task-1-62,vm4,7.974301,2.0,9.970476,7.969000000000051
77,task-7-77,vm3,5.528184,5.9210000000002765,11.452269,5.532000000000153
81,task-1-81,vm3,5.656539,5.875,11.52543,5.657000000000153
84,task-1-84,vm3,5.800207,5.844000000000051,11.64539,5.79700000000048
87,task-1-87,vm3,5.933959,5.811999999999898,11.759517,5.938000000000102
88,task-1-88,vm3,11.452269,0.43800000000010186,11.893831,11.45300000000043
94,task-4-94,vm3,11.52543,2.375,13.908874,11.532000000000153
95,task-2-95,vm3,11.64539,2.5159999999996217,14.157586,11.641000000000531
96,task-1-96,vm3,11.759517,2.594000000000051,14.350312,11.75
98,task-1-98,vm3,11.893831,2.530999999999949,14.425472,11.891000000000531
99,task-1-99,vm3,13.908874,0.6400000000003274,14.552201,13.907000000000153
110,task-1-110,vm3,14.157586,0.5309999999999491,14.69315,14.157000000000153
56,task-9-56,vm4,7.971822,6.780999999999949,14.746761,7.969000000000051
114,task-1-114,vm3,14.350909,0.4530000000004293,14.801943,14.344000000000051
63,task-1-63,vm4,8.019299,6.82799999999952,14.844662,8.016000000000531
70,task-1-70,vm4,9.611998,5.311999999999898,14.921457,9.610000000000582
118,task-1-118,vm3,14.425472,0.5,14.928979,14.42200000000048
75,task-1-75,vm4,9.614018,5.405999999999949,15.010683,9.610000000000582
125,task-1-125,vm3,14.552201,0.5,15.052473,14.54700000000048
86,task-1-86,vm4,9.700149,5.375,15.086484,9.70300000000043
90,task-1-90,vm4,9.801848,5.359999999999673,15.164706,9.79700000000048
97,task-3-97,vm4,9.883401,5.860000000000582,15.742982,9.875
103,task-1-103,vm4,9.970476,5.828000000000429,15.803316,9.969000000000051
105,task-1-105,vm4,14.746761,1.110000000000582,15.8677,14.75
106,task-1-106,vm4,14.844662,1.094000000000051,15.945553,14.844000000000051
107,task-10-107,vm4,14.923238,7.171999999999571,22.090688,14.92200000000048
109,task-1-109,vm4,15.010683,7.07799999999952,22.09464,15.016000000000531
126,task-8-126,vm3,14.69315,7.453000000000429,22.143787,14.688000000000102
116,task-1-116,vm4,15.086484,7.140999999999622,22.219678,15.07800000000043
119,task-1-119,vm4,15.164706,7.155999999999949,22.311476,15.157000000000153
120,task-1-120,vm4,15.742982,6.655999999999949,22.397175,15.735000000000582
121,task-1-121,vm4,15.803316,6.688000000000102,22.487123,15.79700000000048
124,task-1-124,vm4,15.8677,6.70299999999952,22.559678,15.860000000000582
127,task-4-127,vm4,15.945553,7.594000000000051,23.529748,15.938000000000102
132,task-1-132,vm4,22.09464,1.5160000000005311,23.604214,22.09400000000005
131,task-1-131,vm4,22.090688,1.594000000000051,23.685106,22.09400000000005
133,task-1-133,vm4,22.219678,1.5630000000001019,23.779625,22.21900000000005
142,task-1-142,vm4,22.311476,1.5619999999998981,23.883369,22.313000000000102
144,task-1-144,vm4,22.397175,1.5779999999995198,23.963267,22.39100000000053
147,task-1-147,vm4,22.487123,1.5619999999998981,24.043173,22.485000000000582
148,task-1-148,vm4,22.561707,1.5619999999998981,24.124841,22.563000000000102
149,task-1-149,vm4,23.529748,0.6710000000002765,24.21232,23.532000000000153
152,task-1-152,vm4,23.604214,0.6869999999998981,24.29951,23.610000000000582
157,task-1-157,vm4,23.685106,0.7030000000004293,24.387646,23.688000000000102
158,task-1-158,vm4,23.779625,0.6710000000002765,24.459346,23.782000000000153
166,task-1-166,vm4,23.883369,0.6720000000004802,24.544079,23.875
168,task-1-168,vm4,23.963267,0.6559999999999491,24.632808,23.96900000000005
