index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm3,0.0,-1,21.118288,21.109000000000037
1,task-5-1,vm4,0.030534,-1,21.118288,21.07800000000003
2,task-8-2,vm4,0.030534,-1,21.118288,21.07800000000003
3,task-2-3,vm4,0.030534,-1,21.118288,21.07800000000003
4,task-10-4,vm4,0.030534,-1,21.118288,21.07800000000003
5,task-3-5,vm4,0.030534,-1,21.118288,21.07800000000003
6,task-4-6,vm4,0.030534,-1,21.118288,21.07800000000003
7,task-4-7,vm4,0.030534,-1,21.118288,21.07800000000003
8,task-7-8,vm4,0.030534,-1,21.118288,21.07800000000003
9,task-3-9,vm3,0.030534,-1,21.118288,21.07800000000003
10,task-9-10,vm3,0.030534,-1,21.118288,21.07800000000003
12,task-7-12,vm1,0.030534,-1,21.118288,21.07800000000003
13,task-9-13,vm3,0.030534,-1,21.118288,21.07800000000003
15,task-8-15,vm2,0.030534,-1,21.118288,21.07800000000003
18,task-6-18,vm2,0.030534,-1,21.118288,21.07800000000003
11,task-1-11,vm4,21.118288,-1,42.168784,42.14100000000002
14,task-1-14,vm4,21.122909,-1,42.168784,42.14100000000002
16,task-2-16,vm4,21.122909,-1,42.168784,42.14100000000002
17,task-5-17,vm4,21.122909,-1,42.168784,42.14100000000002
19,task-10-19,vm4,21.122909,-1,42.168784,42.14100000000002
