index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
3,task-2-3,vm4,0.0,1.0160000000614673,1.019167,0.0
11,task-1-11,vm4,0.006315,1.0160000000614673,1.019167,0.0
23,task-2-23,vm4,0.013927,1.015999999945052,1.028166,0.0
7,task-4-7,vm4,0.005182,1.797000000020489,1.804416,0.0
1,task-5-1,vm2,0.0,6.032000000006519,6.030197,0.0
19,task-10-19,vm4,0.012928,7.702999999979511,7.717125,0.0
5,task-3-5,vm2,0.0,8.187999999965541,8.195856,0.0
27,task-4-27,vm4,0.013927,8.655999999959022,8.67693,0.0
10,task-9-10,vm3,0.005182,8.85999999998603,8.869796,0.0
14,task-1-14,vm3,0.00682,9.0,9.00425,0.0
9,task-3-9,vm2,6.030197,4.295999999972992,10.327181,6.032000000006519
15,task-8-15,vm4,0.012928,12.468999999924563,12.487508,0.0
31,task-1-31,vm4,0.013927,12.640999999945052,12.661484,0.0
43,task-6-43,vm4,1.028166,13.670999999972992,14.714746,1.015999999945052
2,task-8-2,vm3,0.0,15.969000000040978,15.978928,0.0
0,task-6-0,vm1,0.0,17.344000000040978,17.34248,0.0
6,task-4-6,vm3,0.005182,17.766000000061467,17.770585,0.0
35,task-8-35,vm4,1.019167,17.530999999959022,18.549404,1.0
39,task-2-39,vm4,1.020167,17.796999999904074,18.819948,1.0
18,task-6-18,vm3,8.869796,12.812000000034459,21.669965,8.843999999924563
47,task-9-47,vm4,1.804416,21.780999999959022,23.588553,1.7809999999590218
22,task-8-22,vm3,9.00425,19.53200000000652,28.528717,8.983999999938533
13,task-9-13,vm2,8.195856,21.328000000095926,29.513595,8.187999999965541
26,task-4-26,vm3,15.978928,14.358999999938533,30.338845,15.952999999979511
17,task-5-17,vm2,10.327181,25.063000000081956,35.386974,10.311999999918044
30,task-9-30,vm3,17.770585,21.375,39.145203,17.75
34,task-1-34,vm3,21.669965,17.56299999996554,39.241434,21.655999999959022
21,task-5-21,vm2,29.513595,11.843999999924563,41.369564,29.5
38,task-6-38,vm3,28.528717,14.609000000054948,43.144553,28.515999999945052
25,task-3-25,vm2,35.386974,8.140999999945052,43.541821,35.375
29,task-3-29,vm2,41.369564,4.342999999993481,45.703088,41.34399999992456
42,task-5-42,vm3,30.338845,15.563000000081956,45.894419,30.311999999918044
46,task-4-46,vm3,39.145203,8.561999999918044,47.7001,39.125
33,task-9-33,vm2,43.541821,21.780999999959022,65.317406,43.51599999994505
37,task-5-37,vm2,45.703088,25.67200000002049,71.379818,45.686999999918044
41,task-4-41,vm2,65.317406,10.5,75.811225,65.29699999990407
45,task-3-45,vm2,71.379818,6.641000000061467,78.016077,71.35899999993853
4,task-10-4,vm1,17.34248,-1,127.996039,127.98499999998603
49,task-7-49,vm2,75.811225,55.92200000002049,131.739293,75.79699999990407
8,task-7-8,vm1,127.996039,63.15600000007544,191.148017,127.98499999998603
12,task-7-12,vm1,191.148017,21.70299999997951,212.840218,191.14100000006147
16,task-2-16,vm1,212.840218,2.922000000020489,215.76616,212.8279999999795
20,task-6-20,vm1,215.76616,15.655999999959022,231.426985,215.75
24,task-10-24,vm1,231.426985,-1,263.250717,263.23399999993853
28,task-7-28,vm1,263.250717,55.81299999996554,319.073845,263.23399999993853
32,task-7-32,vm1,319.073845,21.844000000040978,340.916306,319.0469999999041
36,task-2-36,vm1,340.916306,2.4209999999729916,343.328933,340.89099999994505
40,task-3-40,vm1,343.328933,5.032000000006519,348.358091,343.31199999991804
44,task-1-44,vm1,348.358091,50.46799999999348,398.831281,348.34399999992456
48,task-6-48,vm1,398.831281,15.48499999998603,414.311678,398.81199999991804
