index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
3,task-2-3,vm2,0.00099,9.530999999959022,9.528829,0.0
1,task-5-1,vm2,0.00099,15.545999999972992,15.550606,0.0
14,task-1-14,vm4,0.003704,22.64000000001397,22.635608,0.0
0,task-6-0,vm4,0.0,24.875,24.870456,0.0
7,task-4-7,vm4,0.00099,25.780999999959022,25.774569,0.0
13,task-9-13,vm4,0.003096,30.54599999997299,30.538029,0.0
10,task-9-10,vm4,0.00099,35.51500000001397,35.506595,0.0
11,task-1-11,vm4,0.002007,35.60900000005495,35.601089,0.0
5,task-3-5,vm3,0.00099,38.51500000001397,38.504849,0.0
12,task-7-12,vm4,0.003096,38.78099999995902,38.77684,0.0
4,task-10-4,vm4,0.00099,44.46799999999348,44.456733,0.0
2,task-8-2,vm3,0.00099,45.875,45.875166,0.0
21,task-5-21,vm4,22.635608,23.45299999997951,46.082717,22.64000000001397
16,task-2-16,vm3,0.003704,46.21799999999348,46.210048,0.0
17,task-5-17,vm3,0.003704,49.04599999997299,49.048114,0.0
24,task-10-24,vm4,24.870456,27.0,51.877285,24.875
25,task-3-25,vm4,25.774569,26.625,52.406646,25.780999999959022
27,task-4-27,vm4,30.538029,22.875,53.422357,30.54599999997299
28,task-7-28,vm4,35.506595,20.79700000002049,56.301898,35.51500000001397
15,task-8-15,vm2,9.528829,51.125,60.653805,9.530999999959022
30,task-9-30,vm4,35.601089,25.483999999938533,61.09277,35.60900000005495
37,task-5-37,vm4,38.77684,23.828000000095926,62.597363,38.78099999995902
39,task-2-39,vm4,44.456733,18.391000000061467,62.857323,44.46799999999348
41,task-4-41,vm4,46.082717,17.766000000061467,63.849516,46.09299999999348
44,task-1-44,vm4,51.877285,12.062000000034459,63.935968,51.875
47,task-9-47,vm4,52.406646,16.68700000003446,69.084324,52.40599999995902
18,task-6-18,vm2,15.550606,53.54700000002049,69.08505,15.545999999972992
49,task-7-49,vm4,53.422357,18.219000000040978,71.633788,53.42099999997299
19,task-10-19,vm3,38.504849,43.96900000004098,82.478982,38.51500000001397
33,task-9-33,vm2,60.653805,26.64000000001397,87.297887,60.65599999995902
22,task-8-22,vm3,45.875166,43.70299999997951,89.573579,45.875
23,task-2-23,vm3,46.210048,43.78200000000652,89.996025,46.21799999999348
46,task-4-46,vm2,69.08505,21.56299999996554,90.652803,69.09299999999348
26,task-4-26,vm3,49.048114,42.70400000002701,91.749661,49.04599999997299
29,task-3-29,vm3,82.478982,10.296999999904074,92.780668,82.48400000005495
31,task-1-31,vm3,89.573579,3.3429999999934807,92.909193,89.57799999997951
32,task-7-32,vm3,89.996025,8.312000000034459,98.311697,90.0
48,task-6-48,vm2,87.297887,11.375,98.668267,87.29599999997299
6,task-4-6,vm1,0.00099,104.67099999997299,104.666951,0.0
35,task-8-35,vm3,91.749661,13.655999999959022,105.401673,91.75
38,task-6-38,vm3,92.780668,16.656000000075437,109.42532,92.78099999995902
40,task-3-40,vm3,92.909193,17.516000000061467,110.424896,92.92099999997299
42,task-5-42,vm3,98.311697,29.5,127.806607,98.31200000003446
43,task-6-43,vm3,105.401673,26.29700000002049,131.69108,105.40599999995902
45,task-3-45,vm3,109.42532,23.358999999938533,132.788034,109.43700000003446
8,task-7-8,vm1,104.666951,39.26600000006147,143.93336,104.67099999997299
9,task-3-9,vm1,143.93336,31.608999999938533,175.533784,143.93700000003446
20,task-6-20,vm1,175.533784,31.70400000002701,207.240859,175.545999999973
34,task-1-34,vm1,207.240859,27.18700000003446,234.419786,207.25
36,task-2-36,vm1,234.419786,15.483999999938533,249.91029,234.43700000003446
