index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
10,task-1-10,vm2,0.002576,4.843999999999141,4.839909,0.0
6,task-1-6,vm2,0.002576,5.07799999999952,5.081279,0.0
0,task-10-0,vm4,0.0,6.171999999998661,6.172169,0.0
1,task-1-1,vm3,0.0,6.983999999998559,6.992135,0.0
3,task-1-3,vm3,0.0,7.108999999998559,7.118611,0.0
19,task-10-19,vm4,0.003317,12.061999999999898,12.069877,0.0
5,task-1-5,vm4,0.0,12.171999999998661,12.167855,0.0
7,task-10-7,vm4,0.002576,18.04699999999866,18.045684,0.0
20,task-1-20,vm4,0.003317,18.125,18.13185,0.0
2,task-10-2,vm3,0.0,18.42199999999866,18.429723,0.0
8,task-1-8,vm3,0.002576,18.561999999999898,18.563625,0.0
12,task-1-12,vm3,6.992135,11.96900000000096,18.951851,6.983999999998559
25,task-10-25,vm4,0.003317,23.98399999999856,23.989666,0.0
24,task-1-24,vm4,0.003317,24.09399999999914,24.092497,0.0
17,task-10-17,vm2,4.839909,23.639999999999418,28.482652,4.843999999999141
11,task-10-11,vm4,0.002576,30.014999999999418,30.017923,0.0
13,task-10-13,vm3,7.118611,23.110000000000582,30.214041,7.108999999998559
14,task-1-14,vm3,18.429723,11.92200000000048,30.345598,18.42199999999866
27,task-10-27,vm4,6.172169,29.75,35.920135,6.171999999998661
16,task-10-16,vm3,18.563625,23.09399999999914,41.663161,18.561999999999898
18,task-1-18,vm3,18.951851,22.84399999999914,41.801932,18.95299999999952
21,task-1-21,vm3,30.214041,11.718000000000757,41.933738,30.21899999999914
23,task-10-23,vm2,5.081279,48.04700000000048,53.130338,5.07799999999952
22,task-10-22,vm3,30.345598,22.811999999999898,53.161944,30.34399999999914
26,task-1-26,vm3,41.663161,11.640999999999622,53.294525,41.65599999999904
28,task-10-28,vm2,28.482652,48.3130000000001,76.804621,28.48399999999856
29,task-10-29,vm2,53.130338,44.46899999999914,97.588975,53.125
4,task-10-4,vm1,0.0,-1,98.926129,98.92199999999866
9,task-10-9,vm1,98.926129,-1,193.144862,193.13999999999942
15,task-1-15,vm1,193.144862,28.953999999999724,222.0927,193.13999999999942
