index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
1,task-1-1,vm2,0.0,0.48400000000037835,0.487732,0.0
3,task-1-3,vm2,0.0,0.8899999999994179,0.894662,0.0
12,task-1-12,vm2,0.487732,0.8280000000013388,1.317197,0.48400000000037835
21,task-1-21,vm2,0.894662,0.6720000000022992,1.561186,0.8899999999994179
4,task-10-4,vm4,0.0,6.09400000000096,6.099291,0.0
0,task-10-0,vm3,0.0,11.4220000000023,11.427933,0.0
7,task-10-7,vm4,0.000999,12.031000000002678,12.040799,0.0
5,task-1-5,vm1,0.0,16.889999999999418,16.90134,0.0
16,task-10-16,vm4,0.001999,17.95300000000134,17.958364,0.0
8,task-1-8,vm1,16.90134,2.797000000002299,19.694752,16.889999999999418
2,task-10-2,vm3,0.0,22.73400000000038,22.731632,0.0
6,task-1-6,vm3,0.000999,22.875,22.872463,0.0
10,task-1-10,vm3,0.001999,23.014999999999418,23.016329,0.0
14,task-1-14,vm3,11.427933,11.717999999997119,23.150454,11.4220000000023
11,task-10-11,vm4,0.001999,23.937000000001717,23.946374,0.0
23,task-10-23,vm2,1.317197,22.875,24.185273,1.3120000000017171
24,task-1-24,vm2,1.561186,22.92199999999866,24.485684,1.5620000000017171
26,task-1-26,vm2,24.185273,0.5469999999986612,24.73487,24.187000000001717
13,task-10-13,vm4,0.001999,29.889999999999418,29.898347,0.0
27,task-10-27,vm3,22.731632,11.625,34.36454,22.73400000000038
17,task-10-17,vm4,0.001999,36.0,36.010053,0.0
19,task-10-19,vm4,0.001999,42.06200000000172,42.059487,0.0
28,task-10-28,vm3,22.872463,22.5,45.379846,22.875
29,task-10-29,vm2,24.485684,22.5470000000023,47.036733,24.48400000000038
22,task-10-22,vm4,0.003014,48.0,48.001601,0.0
25,task-10-25,vm4,6.099291,47.93700000000172,54.028973,6.09400000000096
9,task-10-9,vm1,19.694752,-1,54.686843,54.68700000000172
15,task-1-15,vm1,54.686843,39.34400000000096,94.039381,54.68700000000172
18,task-1-18,vm1,94.039381,17.23399999999674,111.271713,94.03100000000268
20,task-1-20,vm1,111.271713,16.26600000000326,127.532107,111.26499999999942
